location_id,location_name,parameter,value,unit,datetimeUtc,datetimeLocal,timezone,latitude,longitude,country_iso,isMobile,isMonitor,owner_name,provider
4794,"Hannover","o3",71.8484955,"µg/m³","2026-01-03T06:00:00Z","2026-01-03T07:00:00+01:00","Europe/Berlin",52.362919999858455,9.70612000019396,,,,"Unknown Governmental Organization","EEA"
4794,"Hannover","o3",66.863,"µg/m³","2026-01-03T07:00:00Z","2026-01-03T08:00:00+01:00","Europe/Berlin",52.362919999858455,9.70612000019396,,,,"Unknown Governmental Organization","EEA"
4794,"Hannover","o3",62.8936,"µg/m³","2026-01-03T08:00:00Z","2026-01-03T09:00:00+01:00","Europe/Berlin",52.362919999858455,9.70612000019396,,,,"Unknown Governmental Organization","EEA"
4794,"Hannover","o3",60.4417,"µg/m³","2026-01-03T09:00:00Z","2026-01-03T10:00:00+01:00","Europe/Berlin",52.362919999858455,9.70612000019396,,,,"Unknown Governmental Organization","EEA"
4794,"Hannover","o3",57.917,"µg/m³","2026-01-03T10:00:00Z","2026-01-03T11:00:00+01:00","Europe/Berlin",52.362919999858455,9.70612000019396,,,,"Unknown Governmental Organization","EEA"
4794,"Hannover","o3",59.9417,"µg/m³","2026-01-03T11:00:00Z","2026-01-03T12:00:00+01:00","Europe/Berlin",52.362919999858455,9.70612000019396,,,,"Unknown Governmental Organization","EEA"
4794,"Hannover","o3",58.4213,"µg/m³","2026-01-03T12:00:00Z","2026-01-03T13:00:00+01:00","Europe/Berlin",52.362919999858455,9.70612000019396,,,,"Unknown Governmental Organization","EEA"
4794,"Hannover","o3",57.2822,"µg/m³","2026-01-03T13:00:00Z","2026-01-03T14:00:00+01:00","Europe/Berlin",52.362919999858455,9.70612000019396,,,,"Unknown Governmental Organization","EEA"
4794,"Hannover","o3",55.9014,"µg/m³","2026-01-03T15:00:00Z","2026-01-03T16:00:00+01:00","Europe/Berlin",52.362919999858455,9.70612000019396,,,,"Unknown Governmental Organization","EEA"
4794,"Hannover","o3",56.410202,"µg/m³","2026-01-03T16:00:00Z","2026-01-03T17:00:00+01:00","Europe/Berlin",52.362919999858455,9.70612000019396,,,,"Unknown Governmental Organization","EEA"
4794,"Hannover","o3",60.9228973,"µg/m³","2026-01-03T17:00:00Z","2026-01-03T18:00:00+01:00","Europe/Berlin",52.362919999858455,9.70612000019396,,,,"Unknown Governmental Organization","EEA"
4794,"Hannover","o3",67.23611,"µg/m³","2026-01-03T18:00:00Z","2026-01-03T19:00:00+01:00","Europe/Berlin",52.362919999858455,9.70612000019396,,,,"Unknown Governmental Organization","EEA"
4794,"Hannover","o3",69.8373,"µg/m³","2026-01-03T19:00:00Z","2026-01-03T20:00:00+01:00","Europe/Berlin",52.362919999858455,9.70612000019396,,,,"Unknown Governmental Organization","EEA"
4794,"Hannover","o3",69.6485,"µg/m³","2026-01-03T20:00:00Z","2026-01-03T21:00:00+01:00","Europe/Berlin",52.362919999858455,9.70612000019396,,,,"Unknown Governmental Organization","EEA"
4794,"Hannover","o3",68.0955,"µg/m³","2026-01-03T21:00:00Z","2026-01-03T22:00:00+01:00","Europe/Berlin",52.362919999858455,9.70612000019396,,,,"Unknown Governmental Organization","EEA"
4794,"Hannover","o3",65.4829941,"µg/m³","2026-01-03T22:00:00Z","2026-01-03T23:00:00+01:00","Europe/Berlin",52.362919999858455,9.70612000019396,,,,"Unknown Governmental Organization","EEA"
4794,"Hannover","o3",71.6455,"µg/m³","2026-01-03T23:00:00Z","2026-01-04T00:00:00+01:00","Europe/Berlin",52.362919999858455,9.70612000019396,,,,"Unknown Governmental Organization","EEA"
4794,"Hannover","o3",64.79,"µg/m³","2026-01-04T00:00:00Z","2026-01-04T01:00:00+01:00","Europe/Berlin",52.362919999858455,9.70612000019396,,,,"Unknown Governmental Organization","EEA"
4794,"Hannover","pm10",8.94426,"µg/m³","2026-01-03T01:00:00Z","2026-01-03T02:00:00+01:00","Europe/Berlin",52.362919999858455,9.70612000019396,,,,"Unknown Governmental Organization","EEA"
4794,"Hannover","pm10",10.0907,"µg/m³","2026-01-03T02:00:00Z","2026-01-03T03:00:00+01:00","Europe/Berlin",52.362919999858455,9.70612000019396,,,,"Unknown Governmental Organization","EEA"
4794,"Hannover","pm10",9.80871,"µg/m³","2026-01-03T03:00:00Z","2026-01-03T04:00:00+01:00","Europe/Berlin",52.362919999858455,9.70612000019396,,,,"Unknown Governmental Organization","EEA"
4794,"Hannover","pm10",5.53022,"µg/m³","2026-01-03T04:00:00Z","2026-01-03T05:00:00+01:00","Europe/Berlin",52.362919999858455,9.70612000019396,,,,"Unknown Governmental Organization","EEA"
4794,"Hannover","pm10",3.68972,"µg/m³","2026-01-03T05:00:00Z","2026-01-03T06:00:00+01:00","Europe/Berlin",52.362919999858455,9.70612000019396,,,,"Unknown Governmental Organization","EEA"
4794,"Hannover","pm10",3.51437,"µg/m³","2026-01-03T06:00:00Z","2026-01-03T07:00:00+01:00","Europe/Berlin",52.362919999858455,9.70612000019396,,,,"Unknown Governmental Organization","EEA"
4794,"Hannover","pm10",2.80196,"µg/m³","2026-01-03T07:00:00Z","2026-01-03T08:00:00+01:00","Europe/Berlin",52.362919999858455,9.70612000019396,,,,"Unknown Governmental Organization","EEA"
4794,"Hannover","pm10",3.92058,"µg/m³","2026-01-03T08:00:00Z","2026-01-03T09:00:00+01:00","Europe/Berlin",52.362919999858455,9.70612000019396,,,,"Unknown Governmental Organization","EEA"
4794,"Hannover","pm10",5.8606,"µg/m³","2026-01-03T09:00:00Z","2026-01-03T10:00:00+01:00","Europe/Berlin",52.362919999858455,9.70612000019396,,,,"Unknown Governmental Organization","EEA"
4794,"Hannover","pm10",7.955029,"µg/m³","2026-01-03T10:00:00Z","2026-01-03T11:00:00+01:00","Europe/Berlin",52.362919999858455,9.70612000019396,,,,"Unknown Governmental Organization","EEA"
4794,"Hannover","pm10",7.5257,"µg/m³","2026-01-03T11:00:00Z","2026-01-03T12:00:00+01:00","Europe/Berlin",52.362919999858455,9.70612000019396,,,,"Unknown Governmental Organization","EEA"
4794,"Hannover","pm10",9.00611,"µg/m³","2026-01-03T12:00:00Z","2026-01-03T13:00:00+01:00","Europe/Berlin",52.362919999858455,9.70612000019396,,,,"Unknown Governmental Organization","EEA"
4794,"Hannover","pm10",10.1268005,"µg/m³","2026-01-03T13:00:00Z","2026-01-03T14:00:00+01:00","Europe/Berlin",52.362919999858455,9.70612000019396,,,,"Unknown Governmental Organization","EEA"
4794,"Hannover","pm10",8.07929,"µg/m³","2026-01-03T15:00:00Z","2026-01-03T16:00:00+01:00","Europe/Berlin",52.362919999858455,9.70612000019396,,,,"Unknown Governmental Organization","EEA"
4794,"Hannover","pm10",6.10232,"µg/m³","2026-01-03T16:00:00Z","2026-01-03T17:00:00+01:00","Europe/Berlin",52.362919999858455,9.70612000019396,,,,"Unknown Governmental Organization","EEA"
4794,"Hannover","pm10",4.45466,"µg/m³","2026-01-03T17:00:00Z","2026-01-03T18:00:00+01:00","Europe/Berlin",52.362919999858455,9.70612000019396,,,,"Unknown Governmental Organization","EEA"
4794,"Hannover","pm10",3.39576,"µg/m³","2026-01-03T18:00:00Z","2026-01-03T19:00:00+01:00","Europe/Berlin",52.362919999858455,9.70612000019396,,,,"Unknown Governmental Organization","EEA"
4794,"Hannover","pm10",4.16106,"µg/m³","2026-01-03T19:00:00Z","2026-01-03T20:00:00+01:00","Europe/Berlin",52.362919999858455,9.70612000019396,,,,"Unknown Governmental Organization","EEA"
4794,"Hannover","pm10",5.78127,"µg/m³","2026-01-03T20:00:00Z","2026-01-03T21:00:00+01:00","Europe/Berlin",52.362919999858455,9.70612000019396,,,,"Unknown Governmental Organization","EEA"
4794,"Hannover","pm10",6.99524,"µg/m³","2026-01-03T21:00:00Z","2026-01-03T22:00:00+01:00","Europe/Berlin",52.362919999858455,9.70612000019396,,,,"Unknown Governmental Organization","EEA"
4794,"Hannover","pm10",7.21193,"µg/m³","2026-01-03T22:00:00Z","2026-01-03T23:00:00+01:00","Europe/Berlin",52.362919999858455,9.70612000019396,,,,"Unknown Governmental Organization","EEA"
4794,"Hannover","pm10",4.74456,"µg/m³","2026-01-03T23:00:00Z","2026-01-04T00:00:00+01:00","Europe/Berlin",52.362919999858455,9.70612000019396,,,,"Unknown Governmental Organization","EEA"
4794,"Hannover","pm10",3.12019,"µg/m³","2026-01-04T00:00:00Z","2026-01-04T01:00:00+01:00","Europe/Berlin",52.362919999858455,9.70612000019396,,,,"Unknown Governmental Organization","EEA"
4794,"Hannover","pm25",4.79869,"µg/m³","2026-01-03T01:00:00Z","2026-01-03T02:00:00+01:00","Europe/Berlin",52.362919999858455,9.70612000019396,,,,"Unknown Governmental Organization","EEA"
4794,"Hannover","pm25",5.82004,"µg/m³","2026-01-03T02:00:00Z","2026-01-03T03:00:00+01:00","Europe/Berlin",52.362919999858455,9.70612000019396,,,,"Unknown Governmental Organization","EEA"
4794,"Hannover","pm25",5.49353,"µg/m³","2026-01-03T03:00:00Z","2026-01-03T04:00:00+01:00","Europe/Berlin",52.362919999858455,9.70612000019396,,,,"Unknown Governmental Organization","EEA"
4794,"Hannover","pm25",2.94162,"µg/m³","2026-01-03T04:00:00Z","2026-01-03T05:00:00+01:00","Europe/Berlin",52.362919999858455,9.70612000019396,,,,"Unknown Governmental Organization","EEA"
4794,"Hannover","pm25",2.04805,"µg/m³","2026-01-03T05:00:00Z","2026-01-03T06:00:00+01:00","Europe/Berlin",52.362919999858455,9.70612000019396,,,,"Unknown Governmental Organization","EEA"
4794,"Hannover","pm25",1.95588,"µg/m³","2026-01-03T06:00:00Z","2026-01-03T07:00:00+01:00","Europe/Berlin",52.362919999858455,9.70612000019396,,,,"Unknown Governmental Organization","EEA"
